scenario_id,prefill_size_class,decode_occupancy,slo_regime,offered_load,n_total_jobs,n_prefill,n_decode,step_token_budget,max_active_sequences,prefill_prompt_median,decode_output_median,decode_start_s,slack_prefill_s,decode_margin_s,ttft_slo_s,tbt_slo_s,arrival_shape,seed,stress_control_relationship,token_sources
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260818,short,low,ttft_tight,moderate,52,40,12,512,512,595,210,0.5,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260819,short,low,ttft_tight,moderate,52,40,12,512,512,571,648,0.5,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occlow.slottft_tight.loadhigh.s20260818,short,low,ttft_tight,high,72,60,12,512,512,565,799,0.5,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occlow.slottft_tight.loadhigh.s20260819,short,low,ttft_tight,high,72,60,12,512,512,571,381,0.5,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occlow.slotbt_tight.loadmoderate.s20260818,short,low,tbt_tight,moderate,52,40,12,512,512,595,210,0.5,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occlow.slotbt_tight.loadmoderate.s20260819,short,low,tbt_tight,moderate,52,40,12,512,512,571,648,0.5,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occlow.slotbt_tight.loadhigh.s20260818,short,low,tbt_tight,high,72,60,12,512,512,565,799,0.5,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occlow.slotbt_tight.loadhigh.s20260819,short,low,tbt_tight,high,72,60,12,512,512,571,381,0.5,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occlow.slobalanced.loadmoderate.s20260818,short,low,balanced,moderate,52,40,12,512,512,595,210,0.5,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occlow.slobalanced.loadmoderate.s20260819,short,low,balanced,moderate,52,40,12,512,512,571,648,0.5,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occlow.slobalanced.loadhigh.s20260818,short,low,balanced,high,72,60,12,512,512,565,799,0.5,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occlow.slobalanced.loadhigh.s20260819,short,low,balanced,high,72,60,12,512,512,571,381,0.5,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slottft_tight.loadmoderate.s20260818,short,medium,ttft_tight,moderate,90,40,50,512,512,595,1043,0.02,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260818,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slottft_tight.loadmoderate.s20260819,short,medium,ttft_tight,moderate,90,40,50,512,512,571,1264,0.02,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260819,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slottft_tight.loadhigh.s20260818,short,medium,ttft_tight,high,110,60,50,512,512,565,1225,0.02,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260818,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slottft_tight.loadhigh.s20260819,short,medium,ttft_tight,high,110,60,50,512,512,571,1302,0.02,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260819,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slotbt_tight.loadmoderate.s20260818,short,medium,tbt_tight,moderate,90,40,50,512,512,595,1043,0.02,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260818,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slotbt_tight.loadmoderate.s20260819,short,medium,tbt_tight,moderate,90,40,50,512,512,571,1264,0.02,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260819,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slotbt_tight.loadhigh.s20260818,short,medium,tbt_tight,high,110,60,50,512,512,565,1225,0.02,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260818,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slotbt_tight.loadhigh.s20260819,short,medium,tbt_tight,high,110,60,50,512,512,571,1302,0.02,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260819,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slobalanced.loadmoderate.s20260818,short,medium,balanced,moderate,90,40,50,512,512,595,1043,0.02,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260818,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slobalanced.loadmoderate.s20260819,short,medium,balanced,moderate,90,40,50,512,512,571,1264,0.02,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260819,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slobalanced.loadhigh.s20260818,short,medium,balanced,high,110,60,50,512,512,565,1225,0.02,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260818,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occmedium.slobalanced.loadhigh.s20260819,short,medium,balanced,high,110,60,50,512,512,571,1302,0.02,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260819,,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slottft_tight.loadmoderate.s20260818,short,high,ttft_tight,moderate,120,40,80,512,512,595,1154,0.02,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260818,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slottft_tight.loadmoderate.s20260819,short,high,ttft_tight,moderate,120,40,80,512,512,571,1812,0.02,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260819,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slottft_tight.loadhigh.s20260818,short,high,ttft_tight,high,140,60,80,512,512,565,1384,0.02,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260818,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slottft_tight.loadhigh.s20260819,short,high,ttft_tight,high,140,60,80,512,512,571,1801,0.02,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260819,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slotbt_tight.loadmoderate.s20260818,short,high,tbt_tight,moderate,120,40,80,512,512,595,1154,0.02,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260818,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slotbt_tight.loadmoderate.s20260819,short,high,tbt_tight,moderate,120,40,80,512,512,571,1812,0.02,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260819,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slotbt_tight.loadhigh.s20260818,short,high,tbt_tight,high,140,60,80,512,512,565,1384,0.02,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260818,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slotbt_tight.loadhigh.s20260819,short,high,tbt_tight,high,140,60,80,512,512,571,1801,0.02,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260819,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slobalanced.loadmoderate.s20260818,short,high,balanced,moderate,120,40,80,512,512,595,1154,0.02,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260818,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slobalanced.loadmoderate.s20260819,short,high,balanced,moderate,120,40,80,512,512,571,1812,0.02,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260819,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slobalanced.loadhigh.s20260818,short,high,balanced,high,140,60,80,512,512,565,1384,0.02,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260818,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizeshort.occhigh.slobalanced.loadhigh.s20260819,short,high,balanced,high,140,60,80,512,512,571,1801,0.02,0.45,0.35,0.15,0.0025,prefill_convoy_then_overlapping_decode,20260819,stress,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occlow.slottft_tight.loadmoderate.s20260818,medium,low,ttft_tight,moderate,42,30,12,512,512,1394,183,0.5,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occlow.slottft_tight.loadmoderate.s20260819,medium,low,ttft_tight,moderate,42,30,12,512,512,1542,529,0.5,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occlow.slottft_tight.loadhigh.s20260818,medium,low,ttft_tight,high,57,45,12,512,512,1387,152,0.5,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occlow.slottft_tight.loadhigh.s20260819,medium,low,ttft_tight,high,57,45,12,512,512,1525,576,0.5,0.08,1.0,0.05,0.004,prefill_convoy_then_overlapping_decode,20260819,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
pd1.psizemedium.occlow.slotbt_tight.loadmoderate.s20260818,medium,low,tbt_tight,moderate,42,30,12,512,512,1394,183,0.5,3.0,0.15,0.4,0.0016,prefill_convoy_then_overlapping_decode,20260818,control,"{""prefill_prompt"": ""burstgpt_staged"", ""prefill_output"": ""burstgpt_staged"", ""decode_prompt"": ""burstgpt_staged"", ""decode_output"": ""burstgpt_anchored"", ""burstgpt_path"": ""/home/soroush/llm-serving-heuristic-evolution/.local_data/burstgpt_v2/raw/BurstGPT_without_fails_1.csv""}"
